nodes,topology,target,gpu,layout,dpx,store,sync,block_threads,grid_blocks,trial,kernel_s,endtoend_s,energy_j,mean_power_w,power_samples,energy_counter_j,mismatches
1000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,961,1,0.004955,0.005786,0.291,55.304,6,0.000,0
1000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,961,2,0.004949,0.005780,0.233,55.304,5,0.000,0
1000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,961,3,0.004952,0.005784,0.291,55.304,6,0.000,0
1000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,961,4,0.004955,0.005780,0.291,55.304,6,0.000,0
1000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,961,5,0.004951,0.005783,0.233,55.304,5,0.000,0
1000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,961,1,0.004961,0.005865,0.245,58.236,5,0.000,0
1000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,961,2,0.004963,0.005877,0.307,58.236,6,0.000,0
1000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,961,3,0.004959,0.005843,0.245,58.236,5,0.000,0
1000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,961,4,0.004960,0.005841,0.243,57.734,5,0.000,0
1000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,961,5,0.004966,0.005847,0.243,57.734,5,6.108,0
2000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,3844,1,0.021182,0.024269,1.410,60.992,23,0.000,0
2000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,3844,2,0.021178,0.024253,1.423,61.578,23,7.143,0
2000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,3844,3,0.021170,0.024195,1.423,61.578,23,0.000,0
2000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,3844,4,0.021188,0.024255,1.590,68.669,23,0.000,0
2000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,3844,5,0.021150,0.024204,1.716,74.124,23,7.623,0
2000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,3844,1,0.020492,0.023561,1.412,63.851,22,0.000,0
2000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,3844,2,0.020498,0.023572,1.413,63.851,22,7.436,0
2000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,3844,3,0.020499,0.023518,1.412,63.851,22,0.000,0
2000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,3844,4,0.020495,0.023505,1.705,73.409,23,0.000,0
2000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,3844,5,0.020459,0.023449,1.655,74.843,22,8.032,0
3000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,8649,1,0.057113,0.063965,4.702,75.641,60,9.186,0
3000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,8649,2,0.057123,0.063951,5.697,90.048,61,9.108,0
3000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,8649,3,0.057096,0.063917,6.039,95.541,61,0.000,0
3000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,8649,4,0.057080,0.063737,6.062,97.526,60,8.868,0
3000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,8649,5,0.057109,0.063693,5.254,84.987,54,9.119,0
3000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,8649,1,0.070105,0.076975,4.408,58.146,73,6.968,0
3000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,8649,2,0.070121,0.076891,5.001,65.968,73,7.213,0
3000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,8649,3,0.070090,0.076830,5.336,70.373,73,7.114,0
3000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,8649,4,0.070082,0.076797,5.514,72.710,73,7.337,0
3000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,8649,5,0.070079,0.076766,5.612,74.002,73,7.136,0
6000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,34969,1,0.505015,0.533924,39.947,74.939,507,37.464,0
6000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,34969,2,0.504896,0.533553,38.987,73.298,506,45.541,0
6000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,34969,3,0.504887,0.533699,40.902,76.752,507,37.670,0
6000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,34969,4,0.504884,0.533777,39.097,73.348,507,38.393,0
6000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,34969,5,0.504905,0.533904,40.566,76.103,507,37.549,0
6000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,34969,1,0.504940,0.533418,40.292,75.749,506,45.290,0
6000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,34969,2,0.504895,0.533340,39.646,74.387,507,37.966,0
6000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,34969,3,0.504896,0.533209,38.874,73.085,506,45.632,0
6000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,34969,4,0.504896,0.533182,41.011,76.988,507,37.668,0
6000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,34969,5,0.504890,0.533536,39.061,73.283,507,45.717,0
12000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,139876,1,3.858921,3.976356,306.072,76.995,3774,311.178,0
12000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,139876,2,3.859188,3.976193,306.125,77.001,3772,304.621,0
12000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,139876,3,3.858861,3.976220,305.082,76.747,3775,311.217,0
12000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,139876,4,3.796078,3.912659,305.272,78.050,3711,310.671,0
12000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,139876,5,3.404903,3.522162,329.838,93.664,3344,331.581,0
12000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,139876,1,3.859554,3.978508,305.473,76.812,3777,305.124,0
12000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,139876,2,3.860198,3.979047,305.105,76.690,3778,309.755,0
12000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,139876,3,3.859610,3.977904,307.564,77.338,3777,305.430,0
12000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,139876,4,3.860238,3.978820,303.821,76.379,3778,302.729,0
12000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,139876,5,3.859534,3.977945,307.221,77.267,3773,311.379,0
24000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,561001,1,29.995996,30.451268,2441.989,80.196,28912,2447.011,0
24000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,561001,2,29.940117,30.395973,2442.598,80.360,28863,2441.416,0
24000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,561001,3,29.956006,30.411239,2438.081,80.171,28861,2439.352,0
24000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,561001,4,29.998705,30.453905,2437.791,80.053,28907,2434.774,0
24000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,561001,5,29.940016,30.394876,2438.627,80.234,28855,2436.545,0
24000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,561001,1,29.939287,30.394900,2446.039,80.476,28866,2446.383,0
24000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,561001,2,29.997432,30.456691,2443.275,80.224,28925,2440.137,0
24000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,561001,3,29.938055,30.397271,2448.526,80.554,28867,2447.686,0
24000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,561001,4,29.985375,30.444332,2444.132,80.284,28916,2442.518,0
24000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,561001,5,29.939299,30.399411,2444.888,80.428,28857,2440.731,0
