nodes,topology,target,gpu,layout,dpx,store,sync,block_threads,grid_blocks,trial,kernel_s,endtoend_s,energy_j,mean_power_w,power_samples,energy_counter_j,mismatches
1000,scale-free,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,961,1,0.005363,0.006192,0.290,55.050,6,0.000,0
1000,scale-free,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,961,2,0.005378,0.006176,0.301,57.190,6,0.000,0
1000,scale-free,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,961,3,0.005375,0.006172,0.241,57.190,5,0.000,0
1000,scale-free,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,961,4,0.005367,0.006159,0.301,57.190,6,0.000,0
1000,scale-free,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,961,5,0.005365,0.006156,0.301,57.190,6,0.000,0
1000,scale-free,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,961,1,0.004309,0.005173,0.282,67.026,5,0.000,0
1000,scale-free,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,961,2,0.004443,0.005268,0.282,67.011,5,0.000,0
1000,scale-free,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,961,3,0.004302,0.005119,0.282,67.011,5,0.000,0
1000,scale-free,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,961,4,0.004309,0.005125,0.282,67.011,5,7.058,0
1000,scale-free,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,961,5,0.004308,0.005125,0.212,67.011,4,0.000,0
2000,scale-free,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,3844,1,0.025351,0.028672,1.499,54.753,27,0.000,0
2000,scale-free,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,3844,2,0.025354,0.028616,1.594,56.209,28,0.000,0
2000,scale-free,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,3844,3,0.025348,0.028596,1.778,64.946,27,6.458,0
2000,scale-free,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,3844,4,0.025345,0.028602,1.778,64.946,27,0.000,0
