signatures,payload,sig_len,mode,rows,dpx,alpha,block_threads,grid_blocks,exit,plant,seed,target,gpu,trial,kernel_s,endtoend_s,energy_j,mean_power_w,power_samples,found,report_sig,report_score,report_pos,mismatches
10000,512,16,regex,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,0.006437,0.006461,,,0,0,,,,0
10000,512,16,regex,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,2,0.006437,0.006464,,,0,0,,,,0
10000,512,16,regex,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,3,0.006435,0.006460,,,0,0,,,,0
10000,512,16,regex,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,4,0.006436,0.006460,,,0,0,,,,0
10000,512,16,regex,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,5,0.006435,0.006459,,,0,0,,,,0
10000,512,16,regex,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,0.004812,0.004835,,,0,0,,,,0
10000,512,16,regex,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,2,0.004813,0.004838,,,0,0,,,,0
10000,512,16,regex,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,3,0.004812,0.004835,,,0,0,,,,0
10000,512,16,regex,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,4,0.004813,0.004836,,,0,0,,,,0
10000,512,16,regex,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,5,0.004811,0.004834,,,0,0,,,,0
100000,512,16,regex,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,0.011846,0.011869,,,0,0,,,,0
100000,512,16,regex,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,2,0.011846,0.011869,,,0,0,,,,0
100000,512,16,regex,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,3,0.011848,0.011871,,,0,0,,,,0
100000,512,16,regex,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,4,0.011845,0.011868,,,0,0,,,,0
100000,512,16,regex,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,5,0.011846,0.011868,,,0,0,,,,0
100000,512,16,regex,registers,off,0.8,32,1563,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,0.011546,0.011569,,,0,0,,,,0
100000,512,16,regex,registers,off,0.8,32,1563,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,2,0.011548,0.011572,,,0,0,,,,0
100000,512,16,regex,registers,off,0.8,32,1563,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,3,0.011547,0.011571,,,0,0,,,,0
100000,512,16,regex,registers,off,0.8,32,1563,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,4,0.011547,0.011571,,,0,0,,,,0
100000,512,16,regex,registers,off,0.8,32,1563,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,5,0.011547,0.011569,,,0,0,,,,0
1000000,512,16,regex,registers,on,0.8,32,15625,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,0.116039,0.116064,,,0,0,,,,0
1000000,512,16,regex,registers,on,0.8,32,15625,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,2,0.116040,0.116066,,,0,0,,,,0
1000000,512,16,regex,registers,on,0.8,32,15625,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,3,0.116038,0.116063,,,0,0,,,,0
1000000,512,16,regex,registers,on,0.8,32,15625,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,4,0.116035,0.116060,,,0,0,,,,0
1000000,512,16,regex,registers,on,0.8,32,15625,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,5,0.116035,0.116059,,,0,0,,,,0
1000000,512,16,regex,registers,off,0.8,32,15625,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,0.088480,0.088502,,,0,0,,,,0
1000000,512,16,regex,registers,off,0.8,32,15625,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,2,0.088479,0.088503,,,0,0,,,,0
1000000,512,16,regex,registers,off,0.8,32,15625,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,3,0.088478,0.088501,,,0,0,,,,0
1000000,512,16,regex,registers,off,0.8,32,15625,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,4,0.088480,0.088503,,,0,0,,,,0
1000000,512,16,regex,registers,off,0.8,32,15625,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,5,0.088479,0.088502,,,0,0,,,,0
10000000,512,16,regex,registers,on,0.8,32,156250,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,1.118757,1.118797,,,0,0,,,,0
10000000,512,16,regex,registers,on,0.8,32,156250,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,2,1.118759,1.118790,,,0,0,,,,0
10000000,512,16,regex,registers,on,0.8,32,156250,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,3,1.118751,1.118779,,,0,0,,,,0
10000000,512,16,regex,registers,on,0.8,32,156250,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,4,1.118755,1.118822,,,0,0,,,,0
10000000,512,16,regex,registers,on,0.8,32,156250,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,5,1.118748,1.118791,,,0,0,,,,0
10000000,512,16,regex,registers,off,0.8,32,156250,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,1.081553,1.081591,,,0,0,,,,0
